date,player_team,player,team,goals,rank
2024-11-10,gabrielmartinelli_arsenal,Gabriel Martinelli,Arsenal,3.0,31.0
2024-11-10,jarrodbowen_westham,Jarrod Bowen,West Ham,3.0,32.0
2024-11-10,morganrogers_astonvilla,Morgan Rogers,Aston Villa,3.0,33.0
2024-11-10,rayanaitnouri_wolves,Rayan Ait-Nouri,Wolves,3.0,34.0
2024-11-10,alejandrogarnacho_manchesterutd,Alejandro Garnacho,Manchester Utd,3.0,35.0
2024-11-10,joaopedro_brighton,Joao Pedro,Brighton,3.0,36.0
2024-11-10,jeanphilippemateta_crystalpalace,Jean-Philippe Mateta,Crystal Palace,3.0,38.0
2024-11-10,mateokovacic_manchestercity,Mateo Kovacic,Manchester City,3.0,40.0
2024-11-10,brunofernandes_manchesterutd,Bruno Fernandes,Manchester Utd,2.0,42.0
2024-11-10,alexiwobi_fulham,Alex Iwobi,Fulham,2.0,43.0
2024-11-10,dejankulusevski_tottenham,Dejan Kulusevski,Tottenham,2.0,44.0
2024-11-10,diogojota_liverpool,Diogo Jota,Liverpool,2.0,45.0
2024-11-10,justinkluivert_bournemouth,Justin Kluivert,Bournemouth,2.0,47.0
2024-11-10,anthonygordon_newcastleutd,Anthony Gordon,Newcastle Utd,2.0,48.0
2024-11-10,dominiccalvertlewin_everton,Dominic Calvert-Lewin,Everton,2.0,50.0
2024-11-10,jamesjustin_leicestercity,James Justin,Leicester City,2.0,51.0
2024-11-10,amadouonana_astonvilla,Amadou Onana,Aston Villa,2.0,52.0
2024-11-10,callumhudsonodoi_notthamforest,Callum Hudson-Odoi,Nott'ham Forest,2.0,53.0
2024-11-10,cameronarcher_southampton,Cameron Archer,Southampton,2.0,54.0
2024-11-10,gabrielmagalhaes_arsenal,Gabriel Magalhaes,Arsenal,2.0,56.0
2024-11-10,joelinton_newcastleutd,Joelinton,Newcastle Utd,2.0,58.0
2024-11-10,leandrotrossard_arsenal,Leandro Trossard,Arsenal,2.0,61.0
2024-11-10,lucaspaqueta_westham,Lucas Paqueta,West Ham,2.0,62.0
2024-11-10,stephymavididi_leicestercity,Stephy Mavididi,Leicester City,2.0,66.0
2024-11-10,adamatraore_fulham,Adama Traore,Fulham,1.0,69.0
2024-11-10,amaddiallo_manchesterutd,Amad Diallo,Manchester Utd,1.0,73.0
2024-11-10,kaorumitoma_brighton,Kaoru Mitoma,Brighton,1.0,74.0
2024-11-10,carlosbaleba_brighton,Carlos Baleba,Brighton,1.0,80.0
2024-11-10,joshuazirkzee_manchesterutd,Joshua Zirkzee,Manchester Utd,1.0,92.0
2024-11-10,kevindebruyne_manchestercity,Kevin De Bruyne,Manchester City,1.0,93.0
2024-11-10,luissinisterra_bournemouth,Luis Sinisterra,Bournemouth,1.0,94.0
2024-11-10,marcusrashford_manchesterutd,Marcus Rashford,Manchester Utd,1.0,95.0
2024-11-10,pedroporro_tottenham,Pedro Porro,Tottenham,1.0,97.0
2024-11-10,simonadingra_brighton,Simon Adingra,Brighton,1.0,102.0
2024-11-10,yankubaminteh_brighton,Yankuba Minteh,Brighton,1.0,104.0
2024-11-10,adamarmstrong_southampton,Adam Armstrong,Southampton,1.0,106.0
2024-11-10,andreaspereira_fulham,Andreas Pereira,Fulham,1.0,107.0
2024-11-10,beto_everton,Beto,Everton,1.0,108.0
2024-11-10,casemiro_manchesterutd,Casemiro,Manchester Utd,1.0,109.0
2024-11-10,cristianromero_tottenham,Cristian Romero,Tottenham,1.0,111.0
2024-11-10,joaofelix_chelsea,Joao Felix,Chelsea,1.0,118.0
2024-11-10,morgangibbswhite_notthamforest,Morgan Gibbs-White,Nott'ham Forest,1.0,124.0
2024-11-10,ashleyyoung_everton,Ashley Young,Everton,0.0,140.0
2024-11-10,bernardosilva_manchestercity,Bernardo Silva,Manchester City,0.0,141.0
2024-11-10,anthonyelanga_notthamforest,Anthony Elanga,Nott'ham Forest,0.0,143.0
2024-11-10,brunoguimaraes_newcastleutd,Bruno Guimaraes,Newcastle Utd,0.0,149.0
2024-11-10,matswieffer_brighton,Mats Wieffer,Brighton,0.0,159.0
2024-11-10,aaronwanbissaka_westham,Aaron Wan-Bissaka,West Ham,0.0,166.0
2024-11-10,alexismacallister_liverpool,Alexis Mac Allister,Liverpool,0.0,167.0
2024-11-10,axeldisasi_chelsea,Axel Disasi,Chelsea,0.0,168.0
2024-11-10,bilalelkhannouss_leicestercity,Bilal El Khannouss,Leicester City,0.0,169.0
2024-11-10,bobbyreid_leicestercity,Bobby Reid,Leicester City,0.0,170.0
2024-11-23,erlinghaaland_manchestercity,Erling Haaland,Manchester City,12.0,1.0
2024-11-23,mohamedsalah_liverpool,Mohamed Salah,Liverpool,8.0,2.0
2024-11-23,bryanmbeumo_brentford,Bryan Mbeumo,Brentford,8.0,3.0
2024-11-23,chriswood_notthamforest,Chris Wood,Nott'ham Forest,8.0,4.0
2024-11-23,colepalmer_chelsea,Cole Palmer,Chelsea,7.0,5.0
2024-11-23,matheuscunha_wolves,Matheus Cunha,Wolves,7.0,6.0
2024-11-23,nicolasjackson_chelsea,Nicolas Jackson,Chelsea,7.0,7.0
2024-11-23,yoanewissa_brentford,Yoane Wissa,Brentford,7.0,8.0
2024-11-23,dannywelbeck_brighton,Danny Welbeck,Brighton,6.0,9.0
2024-11-23,olliewatkins_astonvilla,Ollie Watkins,Aston Villa,6.0,10.0
2024-11-23,liamdelap_ipswichtown,Liam Delap,Ipswich Town,6.0,11.0
2024-11-23,jamesmaddison_tottenham,James Maddison,Tottenham,5.0,12.0
2024-11-23,luisdiaz_liverpool,Luis Diaz,Liverpool,5.0,13.0
2024-11-23,brennanjohnson_tottenham,Brennan Johnson,Tottenham,5.0,14.0
2024-11-23,bukayosaka_arsenal,Bukayo Saka,Arsenal,4.0,15.0
2024-11-23,alexanderisak_newcastleutd,Alexander Isak,Newcastle Utd,4.0,16.0
2024-11-23,dominicsolanke_tottenham,Dominic Solanke,Tottenham,4.0,17.0
2024-11-23,joaopedro_brighton,Joao Pedro,Brighton,4.0,18.0
2024-11-23,jorgenstrandlarsen_wolves,Jorgen Strand Larsen,Wolves,4.0,19.0
2024-11-23,rauljimenez_fulham,Raul Jimenez,Fulham,4.0,20.0
2024-11-23,antoinesemenyo_bournemouth,Antoine Semenyo,Bournemouth,4.0,21.0
2024-11-23,harveybarnes_newcastleutd,Harvey Barnes,Newcastle Utd,4.0,22.0
2024-11-23,jamievardy_leicestercity,Jamie Vardy,Leicester City,4.0,23.0
2024-11-23,kaihavertz_arsenal,Kai Havertz,Arsenal,4.0,24.0
2024-11-23,evanilson_bournemouth,Evanilson,Bournemouth,4.0,25.0
2024-11-23,jhonduran_astonvilla,Jhon Duran,Aston Villa,4.0,26.0
2024-11-23,nonimadueke_chelsea,Noni Madueke,Chelsea,4.0,27.0
2024-11-23,sonheungmin_tottenham,Son Heung-min,Tottenham,3.0,28.0
2024-11-23,dwightmcneil_everton,Dwight McNeil,Everton,3.0,29.0
2024-11-23,alexiwobi_fulham,Alex Iwobi,Fulham,3.0,30.0
2024-11-23,emilesmithrowe_fulham,Emile Smith Rowe,Fulham,3.0,31.0
2024-11-23,facundobuonanotte_leicestercity,Facundo Buonanotte,Leicester City,3.0,32.0
2024-11-23,gabrielmartinelli_arsenal,Gabriel Martinelli,Arsenal,3.0,33.0
2024-11-23,jarrodbowen_westham,Jarrod Bowen,West Ham,3.0,34.0
2024-11-23,morganrogers_astonvilla,Morgan Rogers,Aston Villa,3.0,35.0
2024-11-23,rayanaitnouri_wolves,Rayan Ait-Nouri,Wolves,3.0,36.0
2024-11-23,alejandrogarnacho_manchesterutd,Alejandro Garnacho,Manchester Utd,3.0,37.0
2024-11-23,jeanphilippemateta_crystalpalace,Jean-Philippe Mateta,Crystal Palace,3.0,38.0
2024-11-23,mateokovacic_manchestercity,Mateo Kovacic,Manchester City,3.0,42.0
2024-11-23,brunofernandes_manchesterutd,Bruno Fernandes,Manchester Utd,2.0,44.0
2024-11-23,dejankulusevski_tottenham,Dejan Kulusevski,Tottenham,2.0,45.0
2024-11-23,diogojota_liverpool,Diogo Jota,Liverpool,2.0,46.0
2024-11-23,justinkluivert_bournemouth,Justin Kluivert,Bournemouth,2.0,48.0
2024-11-23,kaorumitoma_brighton,Kaoru Mitoma,Brighton,2.0,49.0
2024-11-23,anthonygordon_newcastleutd,Anthony Gordon,Newcastle Utd,2.0,50.0
2024-11-23,dominiccalvertlewin_everton,Dominic Calvert-Lewin,Everton,2.0,52.0
2024-11-23,jamesjustin_leicestercity,James Justin,Leicester City,2.0,53.0
2024-11-23,pedroporro_tottenham,Pedro Porro,Tottenham,2.0,55.0
2024-11-23,amadouonana_astonvilla,Amadou Onana,Aston Villa,2.0,57.0
2024-11-23,callumhudsonodoi_notthamforest,Callum Hudson-Odoi,Nott'ham Forest,2.0,58.0
2024-11-23,cameronarcher_southampton,Cameron Archer,Southampton,2.0,59.0
2024-11-23,gabrielmagalhaes_arsenal,Gabriel Magalhaes,Arsenal,2.0,61.0
2024-11-23,joelinton_newcastleutd,Joelinton,Newcastle Utd,2.0,63.0
2024-11-23,leandrotrossard_arsenal,Leandro Trossard,Arsenal,2.0,65.0
2024-11-23,lucaspaqueta_westham,Lucas Paqueta,West Ham,2.0,66.0
2024-11-23,stephymavididi_leicestercity,Stephy Mavididi,Leicester City,2.0,70.0
2024-11-23,adamatraore_fulham,Adama Traore,Fulham,1.0,74.0
2024-11-23,amaddiallo_manchesterutd,Amad Diallo,Manchester Utd,1.0,79.0
2024-11-23,carlosbaleba_brighton,Carlos Baleba,Brighton,1.0,85.0
2024-11-23,joshuazirkzee_manchesterutd,Joshua Zirkzee,Manchester Utd,1.0,99.0
2024-11-23,kevindebruyne_manchestercity,Kevin De Bruyne,Manchester City,1.0,100.0
2024-11-23,luissinisterra_bournemouth,Luis Sinisterra,Bournemouth,1.0,101.0
2024-11-23,marcusrashford_manchesterutd,Marcus Rashford,Manchester Utd,1.0,102.0
2024-11-23,simonadingra_brighton,Simon Adingra,Brighton,1.0,107.0
2024-11-23,yankubaminteh_brighton,Yankuba Minteh,Brighton,1.0,109.0
2024-11-23,adamarmstrong_southampton,Adam Armstrong,Southampton,1.0,111.0
2024-11-23,andreaspereira_fulham,Andreas Pereira,Fulham,1.0,112.0
2024-11-23,beto_everton,Beto,Everton,1.0,113.0
2024-11-23,casemiro_manchesterutd,Casemiro,Manchester Utd,1.0,114.0
2024-11-23,cristianromero_tottenham,Cristian Romero,Tottenham,1.0,116.0
2024-11-23,joaofelix_chelsea,Joao Felix,Chelsea,1.0,125.0
2024-11-23,morgangibbswhite_notthamforest,Morgan Gibbs-White,Nott'ham Forest,1.0,131.0
2024-11-23,ashleyyoung_everton,Ashley Young,Everton,0.0,146.0
2024-11-23,bernardosilva_manchestercity,Bernardo Silva,Manchester City,0.0,147.0
2024-11-23,anthonyelanga_notthamforest,Anthony Elanga,Nott'ham Forest,0.0,149.0
2024-11-23,brunoguimaraes_newcastleutd,Bruno Guimaraes,Newcastle Utd,0.0,156.0
2024-11-23,matswieffer_brighton,Mats Wieffer,Brighton,0.0,164.0
2024-11-23,aaronwanbissaka_westham,Aaron Wan-Bissaka,West Ham,0.0,171.0
2024-11-23,alexismacallister_liverpool,Alexis Mac Allister,Liverpool,0.0,172.0
2024-11-23,axeldisasi_chelsea,Axel Disasi,Chelsea,0.0,173.0
2024-11-23,bilalelkhannouss_leicestercity,Bilal El Khannouss,Leicester City,0.0,174.0
2024-11-23,bobbyreid_leicestercity,Bobby Reid,Leicester City,0.0,175.0
2024-11-24,erlinghaaland_manchestercity,Erling Haaland,Manchester City,12.0,1.0
2024-11-24,mohamedsalah_liverpool,Mohamed Salah,Liverpool,10.0,2.0
2024-11-24,bryanmbeumo_brentford,Bryan Mbeumo,Brentford,8.0,3.0
2024-11-24,chriswood_notthamforest,Chris Wood,Nott'ham Forest,8.0,4.0
2024-11-24,colepalmer_chelsea,Cole Palmer,Chelsea,7.0,5.0
2024-11-24,matheuscunha_wolves,Matheus Cunha,Wolves,7.0,6.0
2024-11-24,nicolasjackson_chelsea,Nicolas Jackson,Chelsea,7.0,7.0
2024-11-24,yoanewissa_brentford,Yoane Wissa,Brentford,7.0,8.0
2024-11-24,dannywelbeck_brighton,Danny Welbeck,Brighton,6.0,9.0
2024-11-24,olliewatkins_astonvilla,Ollie Watkins,Aston Villa,6.0,10.0
2024-11-24,liamdelap_ipswichtown,Liam Delap,Ipswich Town,6.0,11.0
2024-11-24,jamesmaddison_tottenham,James Maddison,Tottenham,5.0,12.0
2024-11-24,luisdiaz_liverpool,Luis Diaz,Liverpool,5.0,13.0
2024-11-24,brennanjohnson_tottenham,Brennan Johnson,Tottenham,5.0,14.0
2024-11-24,bukayosaka_arsenal,Bukayo Saka,Arsenal,4.0,15.0
2024-11-24,alexanderisak_newcastleutd,Alexander Isak,Newcastle Utd,4.0,16.0
2024-11-24,dominicsolanke_tottenham,Dominic Solanke,Tottenham,4.0,17.0
2024-11-24,joaopedro_brighton,Joao Pedro,Brighton,4.0,18.0
2024-11-24,jorgenstrandlarsen_wolves,Jorgen Strand Larsen,Wolves,4.0,19.0
2024-11-24,rauljimenez_fulham,Raul Jimenez,Fulham,4.0,20.0
2024-11-24,antoinesemenyo_bournemouth,Antoine Semenyo,Bournemouth,4.0,21.0
2024-11-24,harveybarnes_newcastleutd,Harvey Barnes,Newcastle Utd,4.0,22.0
2024-11-24,jamievardy_leicestercity,Jamie Vardy,Leicester City,4.0,23.0
2024-11-24,kaihavertz_arsenal,Kai Havertz,Arsenal,4.0,24.0
2024-11-24,evanilson_bournemouth,Evanilson,Bournemouth,4.0,25.0
2024-11-24,jhonduran_astonvilla,Jhon Duran,Aston Villa,4.0,26.0
2024-11-24,nonimadueke_chelsea,Noni Madueke,Chelsea,4.0,27.0
2024-11-24,sonheungmin_tottenham,Son Heung-min,Tottenham,3.0,28.0
2024-11-24,dwightmcneil_everton,Dwight McNeil,Everton,3.0,29.0
2024-11-24,alexiwobi_fulham,Alex Iwobi,Fulham,3.0,30.0
2024-11-24,emilesmithrowe_fulham,Emile Smith Rowe,Fulham,3.0,31.0
2024-11-24,facundobuonanotte_leicestercity,Facundo Buonanotte,Leicester City,3.0,32.0
2024-11-24,gabrielmartinelli_arsenal,Gabriel Martinelli,Arsenal,3.0,33.0
2024-11-24,jarrodbowen_westham,Jarrod Bowen,West Ham,3.0,34.0
2024-11-24,morganrogers_astonvilla,Morgan Rogers,Aston Villa,3.0,35.0
2024-11-24,rayanaitnouri_wolves,Rayan Ait-Nouri,Wolves,3.0,36.0
2024-11-24,alejandrogarnacho_manchesterutd,Alejandro Garnacho,Manchester Utd,3.0,37.0
2024-11-24,jeanphilippemateta_crystalpalace,Jean-Philippe Mateta,Crystal Palace,3.0,38.0
2024-11-24,mateokovacic_manchestercity,Mateo Kovacic,Manchester City,3.0,42.0
2024-11-24,brunofernandes_manchesterutd,Bruno Fernandes,Manchester Utd,2.0,44.0
2024-11-24,dejankulusevski_tottenham,Dejan Kulusevski,Tottenham,2.0,45.0
2024-11-24,diogojota_liverpool,Diogo Jota,Liverpool,2.0,46.0
2024-11-24,justinkluivert_bournemouth,Justin Kluivert,Bournemouth,2.0,48.0
2024-11-24,kaorumitoma_brighton,Kaoru Mitoma,Brighton,2.0,49.0
2024-11-24,adamarmstrong_southampton,Adam Armstrong,Southampton,2.0,50.0
2024-11-24,anthonygordon_newcastleutd,Anthony Gordon,Newcastle Utd,2.0,51.0
2024-11-24,dominiccalvertlewin_everton,Dominic Calvert-Lewin,Everton,2.0,53.0
2024-11-24,jamesjustin_leicestercity,James Justin,Leicester City,2.0,54.0
2024-11-24,marcusrashford_manchesterutd,Marcus Rashford,Manchester Utd,2.0,56.0
2024-11-24,pedroporro_tottenham,Pedro Porro,Tottenham,2.0,57.0
2024-11-24,amadouonana_astonvilla,Amadou Onana,Aston Villa,2.0,59.0
2024-11-24,callumhudsonodoi_notthamforest,Callum Hudson-Odoi,Nott'ham Forest,2.0,60.0
2024-11-24,cameronarcher_southampton,Cameron Archer,Southampton,2.0,61.0
2024-11-24,gabrielmagalhaes_arsenal,Gabriel Magalhaes,Arsenal,2.0,63.0
2024-11-24,joelinton_newcastleutd,Joelinton,Newcastle Utd,2.0,65.0
2024-11-24,leandrotrossard_arsenal,Leandro Trossard,Arsenal,2.0,67.0
2024-11-24,lucaspaqueta_westham,Lucas Paqueta,West Ham,2.0,68.0
2024-11-24,stephymavididi_leicestercity,Stephy Mavididi,Leicester City,2.0,72.0
2024-11-24,adamatraore_fulham,Adama Traore,Fulham,1.0,76.0
2024-11-24,amaddiallo_manchesterutd,Amad Diallo,Manchester Utd,1.0,77.0
2024-11-24,carlosbaleba_brighton,Carlos Baleba,Brighton,1.0,87.0
2024-11-24,joshuazirkzee_manchesterutd,Joshua Zirkzee,Manchester Utd,1.0,102.0
2024-11-24,kevindebruyne_manchestercity,Kevin De Bruyne,Manchester City,1.0,103.0
2024-11-24,luissinisterra_bournemouth,Luis Sinisterra,Bournemouth,1.0,104.0
2024-11-24,simonadingra_brighton,Simon Adingra,Brighton,1.0,111.0
2024-11-24,yankubaminteh_brighton,Yankuba Minteh,Brighton,1.0,113.0
2024-11-24,andreaspereira_fulham,Andreas Pereira,Fulham,1.0,115.0
2024-11-24,beto_everton,Beto,Everton,1.0,116.0
2024-11-24,casemiro_manchesterutd,Casemiro,Manchester Utd,1.0,117.0
2024-11-24,cristianromero_tottenham,Cristian Romero,Tottenham,1.0,119.0
2024-11-24,joaofelix_chelsea,Joao Felix,Chelsea,1.0,128.0
2024-11-24,morgangibbswhite_notthamforest,Morgan Gibbs-White,Nott'ham Forest,1.0,134.0
2024-11-24,ashleyyoung_everton,Ashley Young,Everton,0.0,149.0
2024-11-24,bernardosilva_manchestercity,Bernardo Silva,Manchester City,0.0,150.0
2024-11-24,anthonyelanga_notthamforest,Anthony Elanga,Nott'ham Forest,0.0,152.0
2024-11-24,brunoguimaraes_newcastleutd,Bruno Guimaraes,Newcastle Utd,0.0,159.0
2024-11-24,matswieffer_brighton,Mats Wieffer,Brighton,0.0,165.0
2024-11-24,aaronwanbissaka_westham,Aaron Wan-Bissaka,West Ham,0.0,171.0
2024-11-24,alexismacallister_liverpool,Alexis Mac Allister,Liverpool,0.0,172.0
2024-11-24,axeldisasi_chelsea,Axel Disasi,Chelsea,0.0,173.0
2024-11-24,bilalelkhannouss_leicestercity,Bilal El Khannouss,Leicester City,0.0,174.0
2024-11-24,bobbyreid_leicestercity,Bobby Reid,Leicester City,0.0,175.0
2024-11-25,erlinghaaland_manchestercity,Erling Haaland,Manchester City,12.0,1.0
2024-11-25,mohamedsalah_liverpool,Mohamed Salah,Liverpool,10.0,2.0
2024-11-25,bryanmbeumo_brentford,Bryan Mbeumo,Brentford,8.0,3.0
2024-11-25,chriswood_notthamforest,Chris Wood,Nott'ham Forest,8.0,4.0
2024-11-25,colepalmer_chelsea,Cole Palmer,Chelsea,7.0,5.0
2024-11-25,matheuscunha_wolves,Matheus Cunha,Wolves,7.0,6.0
2024-11-25,nicolasjackson_chelsea,Nicolas Jackson,Chelsea,7.0,7.0
2024-11-25,yoanewissa_brentford,Yoane Wissa,Brentford,7.0,8.0
2024-11-25,dannywelbeck_brighton,Danny Welbeck,Brighton,6.0,9.0
2024-11-25,olliewatkins_astonvilla,Ollie Watkins,Aston Villa,6.0,10.0
2024-11-25,liamdelap_ipswichtown,Liam Delap,Ipswich Town,6.0,11.0
2024-11-25,jamesmaddison_tottenham,James Maddison,Tottenham,5.0,12.0
2024-11-25,luisdiaz_liverpool,Luis Diaz,Liverpool,5.0,13.0
2024-11-25,brennanjohnson_tottenham,Brennan Johnson,Tottenham,5.0,14.0
2024-11-25,bukayosaka_arsenal,Bukayo Saka,Arsenal,4.0,15.0
2024-11-25,alexanderisak_newcastleutd,Alexander Isak,Newcastle Utd,4.0,16.0
2024-11-25,dominicsolanke_tottenham,Dominic Solanke,Tottenham,4.0,17.0
2024-11-25,joaopedro_brighton,Joao Pedro,Brighton,4.0,18.0
2024-11-25,jorgenstrandlarsen_wolves,Jorgen Strand Larsen,Wolves,4.0,19.0
2024-11-25,rauljimenez_fulham,Raul Jimenez,Fulham,4.0,20.0
2024-11-25,antoinesemenyo_bournemouth,Antoine Semenyo,Bournemouth,4.0,21.0
2024-11-25,harveybarnes_newcastleutd,Harvey Barnes,Newcastle Utd,4.0,22.0
2024-11-25,jamievardy_leicestercity,Jamie Vardy,Leicester City,4.0,23.0
2024-11-25,kaihavertz_arsenal,Kai Havertz,Arsenal,4.0,24.0
2024-11-25,evanilson_bournemouth,Evanilson,Bournemouth,4.0,25.0
2024-11-25,jhonduran_astonvilla,Jhon Duran,Aston Villa,4.0,26.0
2024-11-25,nonimadueke_chelsea,Noni Madueke,Chelsea,4.0,27.0
2024-11-25,sonheungmin_tottenham,Son Heung-min,Tottenham,3.0,28.0
2024-11-25,dwightmcneil_everton,Dwight McNeil,Everton,3.0,29.0
2024-11-25,jarrodbowen_westham,Jarrod Bowen,West Ham,3.0,30.0
2024-11-25,alexiwobi_fulham,Alex Iwobi,Fulham,3.0,31.0
2024-11-25,emilesmithrowe_fulham,Emile Smith Rowe,Fulham,3.0,32.0
2024-11-25,facundobuonanotte_leicestercity,Facundo Buonanotte,Leicester City,3.0,33.0
2024-11-25,gabrielmartinelli_arsenal,Gabriel Martinelli,Arsenal,3.0,34.0
2024-11-25,morganrogers_astonvilla,Morgan Rogers,Aston Villa,3.0,35.0
2024-11-25,rayanaitnouri_wolves,Rayan Ait-Nouri,Wolves,3.0,36.0
2024-11-25,alejandrogarnacho_manchesterutd,Alejandro Garnacho,Manchester Utd,3.0,37.0
2024-11-25,jeanphilippemateta_crystalpalace,Jean-Philippe Mateta,Crystal Palace,3.0,38.0
2024-11-25,mateokovacic_manchestercity,Mateo Kovacic,Manchester City,3.0,42.0
2024-11-25,brunofernandes_manchesterutd,Bruno Fernandes,Manchester Utd,2.0,45.0
2024-11-25,dejankulusevski_tottenham,Dejan Kulusevski,Tottenham,2.0,46.0
2024-11-25,diogojota_liverpool,Diogo Jota,Liverpool,2.0,47.0
2024-11-25,justinkluivert_bournemouth,Justin Kluivert,Bournemouth,2.0,49.0
2024-11-25,kaorumitoma_brighton,Kaoru Mitoma,Brighton,2.0,50.0
2024-11-25,adamarmstrong_southampton,Adam Armstrong,Southampton,2.0,51.0
2024-11-25,anthonygordon_newcastleutd,Anthony Gordon,Newcastle Utd,2.0,52.0
2024-11-25,dominiccalvertlewin_everton,Dominic Calvert-Lewin,Everton,2.0,54.0
2024-11-25,jamesjustin_leicestercity,James Justin,Leicester City,2.0,55.0
2024-11-25,marcusrashford_manchesterutd,Marcus Rashford,Manchester Utd,2.0,57.0
2024-11-25,pedroporro_tottenham,Pedro Porro,Tottenham,2.0,58.0
2024-11-25,amadouonana_astonvilla,Amadou Onana,Aston Villa,2.0,60.0
2024-11-25,callumhudsonodoi_notthamforest,Callum Hudson-Odoi,Nott'ham Forest,2.0,61.0
2024-11-25,cameronarcher_southampton,Cameron Archer,Southampton,2.0,62.0
2024-11-25,gabrielmagalhaes_arsenal,Gabriel Magalhaes,Arsenal,2.0,64.0
2024-11-25,joelinton_newcastleutd,Joelinton,Newcastle Utd,2.0,66.0
2024-11-25,leandrotrossard_arsenal,Leandro Trossard,Arsenal,2.0,68.0
2024-11-25,lucaspaqueta_westham,Lucas Paqueta,West Ham,2.0,69.0
2024-11-25,stephymavididi_leicestercity,Stephy Mavididi,Leicester City,2.0,73.0
2024-11-25,adamatraore_fulham,Adama Traore,Fulham,1.0,76.0
2024-11-25,amaddiallo_manchesterutd,Amad Diallo,Manchester Utd,1.0,77.0
2024-11-25,carlosbaleba_brighton,Carlos Baleba,Brighton,1.0,87.0
2024-11-25,joshuazirkzee_manchesterutd,Joshua Zirkzee,Manchester Utd,1.0,102.0
2024-11-25,kevindebruyne_manchestercity,Kevin De Bruyne,Manchester City,1.0,103.0
2024-11-25,luissinisterra_bournemouth,Luis Sinisterra,Bournemouth,1.0,104.0
2024-11-25,simonadingra_brighton,Simon Adingra,Brighton,1.0,111.0
2024-11-25,yankubaminteh_brighton,Yankuba Minteh,Brighton,1.0,113.0
2024-11-25,aaronwanbissaka_westham,Aaron Wan-Bissaka,West Ham,1.0,115.0
2024-11-25,andreaspereira_fulham,Andreas Pereira,Fulham,1.0,116.0
2024-11-25,beto_everton,Beto,Everton,1.0,117.0
2024-11-25,casemiro_manchesterutd,Casemiro,Manchester Utd,1.0,118.0
2024-11-25,cristianromero_tottenham,Cristian Romero,Tottenham,1.0,120.0
2024-11-25,joaofelix_chelsea,Joao Felix,Chelsea,1.0,129.0
2024-11-25,morgangibbswhite_notthamforest,Morgan Gibbs-White,Nott'ham Forest,1.0,135.0
2024-11-25,ashleyyoung_everton,Ashley Young,Everton,0.0,150.0
2024-11-25,bernardosilva_manchestercity,Bernardo Silva,Manchester City,0.0,151.0
2024-11-25,anthonyelanga_notthamforest,Anthony Elanga,Nott'ham Forest,0.0,153.0
2024-11-25,brunoguimaraes_newcastleutd,Bruno Guimaraes,Newcastle Utd,0.0,160.0
2024-11-25,matswieffer_brighton,Mats Wieffer,Brighton,0.0,167.0
2024-11-25,alexismacallister_liverpool,Alexis Mac Allister,Liverpool,0.0,173.0
2024-11-25,axeldisasi_chelsea,Axel Disasi,Chelsea,0.0,174.0
2024-11-25,bilalelkhannouss_leicestercity,Bilal El Khannouss,Leicester City,0.0,175.0
2024-11-25,bobbyreid_leicestercity,Bobby Reid,Leicester City,0.0,176.0
2024-11-29,erlinghaaland_manchestercity,Erling Haaland,Manchester City,12.0,1.0
2024-11-29,mohamedsalah_liverpool,Mohamed Salah,Liverpool,10.0,2.0
2024-11-29,bryanmbeumo_brentford,Bryan Mbeumo,Brentford,8.0,3.0
2024-11-29,chriswood_notthamforest,Chris Wood,Nott'ham Forest,8.0,4.0
2024-11-29,colepalmer_chelsea,Cole Palmer,Chelsea,7.0,5.0
2024-11-29,matheuscunha_wolves,Matheus Cunha,Wolves,7.0,6.0
2024-11-29,nicolasjackson_chelsea,Nicolas Jackson,Chelsea,7.0,7.0
2024-11-29,yoanewissa_brentford,Yoane Wissa,Brentford,7.0,8.0
2024-11-29,dannywelbeck_brighton,Danny Welbeck,Brighton,6.0,9.0
2024-11-29,olliewatkins_astonvilla,Ollie Watkins,Aston Villa,6.0,10.0
2024-11-29,liamdelap_ipswichtown,Liam Delap,Ipswich Town,6.0,11.0
2024-11-29,jamesmaddison_tottenham,James Maddison,Tottenham,5.0,12.0
2024-11-29,luisdiaz_liverpool,Luis Diaz,Liverpool,5.0,13.0
2024-11-29,brennanjohnson_tottenham,Brennan Johnson,Tottenham,5.0,14.0
2024-11-29,bukayosaka_arsenal,Bukayo Saka,Arsenal,4.0,15.0
2024-11-29,alexanderisak_newcastleutd,Alexander Isak,Newcastle Utd,4.0,16.0
2024-11-29,dominicsolanke_tottenham,Dominic Solanke,Tottenham,4.0,17.0
2024-11-29,joaopedro_brighton,Joao Pedro,Brighton,4.0,18.0
2024-11-29,jorgenstrandlarsen_wolves,Jorgen Strand Larsen,Wolves,4.0,19.0
2024-11-29,rauljimenez_fulham,Raul Jimenez,Fulham,4.0,20.0
2024-11-29,antoinesemenyo_bournemouth,Antoine Semenyo,Bournemouth,4.0,21.0
2024-11-29,harveybarnes_newcastleutd,Harvey Barnes,Newcastle Utd,4.0,22.0
2024-11-29,jamievardy_leicestercity,Jamie Vardy,Leicester City,4.0,23.0
2024-11-29,kaihavertz_arsenal,Kai Havertz,Arsenal,4.0,24.0
2024-11-29,evanilson_bournemouth,Evanilson,Bournemouth,4.0,25.0
